Author,Title,State,District,Ban Status,Year,AI_Theme,AI_Theme_Confidence,AI_Theme_Reason
"Sharpe, Tess",The Girls I've Been,Texas,Texarkana Independent School District,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Sheff, David",Beautiful Boy: A Father's Journey Through His Son's Addiction,Pennsylvania,Penncrest School District,Banned pending investigation,2022,Sexuality / Sex Education,low,"Romance theme possible, but content unclear."
"Sheff, Nic",Tweak: Growing up on Methamphetamines,Pennsylvania,Penncrest School District,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Shershun, Erika","Healing Sexual Trauma Workbook: Somatic Skills to Help You Feel Safe in Your Body, Create Boundaries, and Live with Resilience",Michigan,Davison Community Schools,Banned in libraries and classrooms,2022,Sexuality / Sex Education,high,"Sexuality, bodies, or sex education appears central."
"Shinn, Sharon",Shattered Warrior,Missouri,Wentzville School District,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Shirai, Kaiu",The Promised Neverland,Texas,Frisco Independent School District,Banned in libraries,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Shirvington, Jessica",Embrace,Florida,Clay County School District,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Shirvington, Jessica",Embrace,Texas,Lake Travis Independent School District,Banned in libraries,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Showalter, Gena",Lifeblood,Texas,Frisco Independent School District,Banned in libraries,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Shulman, Polly",The Grimm Legacy,Texas,Frisco Independent School District,Banned in libraries,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Shusterman, Neal",Challenger Deep,Texas,Frisco Independent School District,Banned in libraries,2022,Mental Health,high,Mental health struggles are central.
"Silvera, Adam",History Is All You Left Me,Florida,Clay County School District,Banned in libraries and classrooms,2022,LGBTQ+ / Gender,medium,Author is known for LGBTQ+/gender themes.
"Silvera, Adam",Infinity Son,Florida,Clay County School District,Banned pending investigation,2022,LGBTQ+ / Gender,medium,Author is known for LGBTQ+/gender themes.
"Silvera, Adam",Infinity Son,Texas,Texarkana Independent School District,Banned pending investigation,2022,LGBTQ+ / Gender,medium,Author is known for LGBTQ+/gender themes.
"Silvera, Adam",More Happy Than Not,Florida,Clay County School District,Banned in libraries and classrooms,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Silvera, Adam",More Happy Than Not,Florida,Collier County Public Schools,Banned in libraries,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Silvera, Adam",More Happy Than Not,Florida,Escambia County Public Schools,Banned pending investigation,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Silvera, Adam",More Happy Than Not,Florida,Marion County Public Schools,Banned pending investigation,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Silvera, Adam",More Happy Than Not,Florida,Martin County Schools,Banned in libraries and classrooms,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Silvera, Adam",More Happy Than Not,Florida,Okaloosa County Schools District,Banned pending investigation,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Silvera, Adam",More Happy Than Not,Florida,Volusia County Schools,Banned in libraries and classrooms,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Silvera, Adam",More Happy Than Not,Pennsylvania,Pleasant Valley School District,Banned pending investigation,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Silvera, Adam",More Happy Than Not,South Carolina,Beaufort County School District,Banned pending investigation,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Silvera, Adam",More Happy Than Not,Texas,Keller Independent School District,Banned in libraries and classrooms,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Silvera, Adam",More Happy Than Not,Utah,Nebo School District,Banned in libraries and classrooms,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Silvera, Adam",More Happy Than Not,Virginia,Spotsylvania County Public Schools,Banned in libraries and classrooms,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Silvera, Adam",They Both Die at the End,Florida,Clay County School District,Banned pending investigation,2022,LGBTQ+ / Gender,medium,Author is known for LGBTQ+/gender themes.
"Silvera, Adam",They Both Die at the End,Texas,Frisco Independent School District,Banned in libraries,2022,LGBTQ+ / Gender,medium,Author is known for LGBTQ+/gender themes.
"Silvera, Adam",They Both Die at the End,Texas,Texarkana Independent School District,Banned pending investigation,2022,LGBTQ+ / Gender,medium,Author is known for LGBTQ+/gender themes.
"Silverberg, Cory","Sex is a Funny Word: A Book about Bodies, Feelings, and YOU",Florida,St. John's County School District,Banned pending investigation,2022,Sexuality / Sex Education,high,Sexual content or sex education is central.
"Silverberg, Cory","Sex is a Funny Word: A Book about Bodies, Feelings, and YOU",Idaho,Kuna School District,Banned pending investigation,2022,Sexuality / Sex Education,high,Sexual content or sex education is central.
"Silverberg, Cory","Sex is a Funny Word: A Book about Bodies, Feelings, and YOU",North Carolina,Cumberland County Schools,Banned in libraries and classrooms,2022,Sexuality / Sex Education,high,Sexual content or sex education is central.
"Silverman, Laura",You Asked for Perfect,Florida,Clay County School District,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Sima, Jessie",Not Quite Narwhal,Florida,Marion County Public Schools,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Simons, Rae","Gender Danger: Survivors of Rape, Human Trafficking, and Honor Killings",Missouri,Kirkwood School District,Banned in libraries and classrooms,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity appears central.
"Sindu, S. J.",Marriage of a Thousand Lies,Florida,Clay County School District,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Sitomer, Alan Lawrence",The Downside of Being Up,Texas,Keller Independent School District,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Skye, Obert",Ambush,Texas,Frisco Independent School District,Banned in libraries,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Skye, Obert",Choke (SO),Florida,Sarasota County Schools,Banned in libraries and classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Skye, Obert",Choke (SO),Maine,Maine School Administrative District #6,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Skye, Obert",Choke (SO),Texas,Frisco Independent School District,Banned in libraries,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Skye, Obert",Choke (SO),Utah,Washington County School District,Banned in libraries and classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Skye, Obert",Choke (SO),Virginia,Hanover County Public Schools,Banned in libraries and classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Skye, Obert",Pillage,Texas,Frisco Independent School District,Banned in libraries,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Slater, Dashka",The 57 Bus: A True Story of Two Teenagers and the Crime That Changed Their Lives,Florida,Clay County School District,Banned pending investigation,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Slater, Dashka",The 57 Bus: A True Story of Two Teenagers and the Crime That Changed Their Lives,Florida,Escambia County Public Schools,Banned pending investigation,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Slater, Dashka",The 57 Bus: A True Story of Two Teenagers and the Crime That Changed Their Lives,Florida,Marion County Public Schools,Banned pending investigation,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Slater, Dashka",The 57 Bus: A True Story of Two Teenagers and the Crime That Changed Their Lives,Florida,School District of Manatee County,Banned in libraries and classrooms,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Slater, Dashka",The 57 Bus: A True Story of Two Teenagers and the Crime That Changed Their Lives,Florida,Volusia County Schools,Banned in libraries and classrooms,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Slater, Dashka",The 57 Bus: A True Story of Two Teenagers and the Crime That Changed Their Lives,Michigan,Chippewa Valley Schools,Banned in libraries,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Slater, Dashka",The 57 Bus: A True Story of Two Teenagers and the Crime That Changed Their Lives,Pennsylvania,Penncrest School District,Banned pending investigation,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Slater, Dashka",The 57 Bus: A True Story of Two Teenagers and the Crime That Changed Their Lives,Tennessee,Houston County School District,Banned in libraries and classrooms,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Slater, Dashka",The 57 Bus: A True Story of Two Teenagers and the Crime That Changed Their Lives,Texas,Texarkana Independent School District,Banned pending investigation,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Slater, Dashka",The 57 Bus: A True Story of Two Teenagers and the Crime That Changed Their Lives,Utah,Davis School District,Banned in libraries,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Slater, Dashka",The 57 Bus: A True Story of Two Teenagers and the Crime That Changed Their Lives,Utah,Nebo School District,Banned in libraries,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Sloan, Christopher","Bury the Dead: Tombs, Corpses, Mummies, Skeletons and Rituals",Florida,Gilchrist County Schools,Banned in libraries and classrooms,2022,Violence / Trauma,high,"Violence, death, abuse, or trauma appears central."
"Sloan, Holly Goldberg",The Elephant in the Room,Florida,Clay County School District,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Small, David",Home After Dark,Florida,Clay County School District,Banned in libraries and classrooms,2022,Other / Unclear,low,"Inclusive theme possible, but specific issue unclear."
"Small, David",Home After Dark,Florida,Escambia County Public Schools,Banned pending investigation,2022,Other / Unclear,low,"Inclusive theme possible, but specific issue unclear."
"Small, David",Home After Dark,Missouri,Independence School District,Banned in libraries,2022,Other / Unclear,low,"Inclusive theme possible, but specific issue unclear."
"Small, David",Home After Dark,Missouri,North Kansas City Schools,Banned in libraries,2022,Other / Unclear,low,"Inclusive theme possible, but specific issue unclear."
"Small, David",Home After Dark,Missouri,Rockwood School District,Banned in libraries and classrooms,2022,Other / Unclear,low,"Inclusive theme possible, but specific issue unclear."
"Small, David",Home After Dark,Missouri,Webster Groves School District,Banned in libraries,2022,Other / Unclear,low,"Inclusive theme possible, but specific issue unclear."
"Small, David",Home After Dark,Missouri,Wentzville School District,Banned pending investigation,2022,Other / Unclear,low,"Inclusive theme possible, but specific issue unclear."
"Smiley, Jane",A Thousand Acres,Idaho,Kuna School District,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Smith, Heather",Chicken Girl,Texas,Frisco Independent School District,Banned in libraries and classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Smith, Hilary T.",A Sense of the Infinite,Texas,Frisco Independent School District,Banned in libraries,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Smith, Jennifer",The Gay Rights Movement,Florida,Marion County Public Schools,Banned pending investigation,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity appears central.
"Smith, Jennifer E.",Field Notes on Love,Texas,Frisco Independent School District,Banned in libraries,2022,Sexuality / Sex Education,low,"Romance theme possible, but content unclear."
"Smith, Niki",The Deep & Dark Blue,Texas,Keller Independent School District,Banned pending investigation,2022,Mental Health,low,"Emotional struggle suggested, but details unclear."
"Smith, Niki",The Golden Hour,Florida,Gilchrist County Schools,Banned in libraries and classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Smith, Ray",An Introduction to Oil Painting,Missouri,Wentzville School District,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Smith, Ray",An Introduction to Watercolor,Missouri,Wentzville School District,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Smith, Roland",Peak,Texas,Frisco Independent School District,Banned in libraries,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Smith, Roland",The Edge,Texas,Frisco Independent School District,Banned in libraries,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Smyth, Ciara",Not My Problem,Florida,Clay County School District,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Snadowsky, Daria",Anatomy of a Boyfriend,Virginia,Spotsylvania County Public Schools,Banned in libraries and classrooms,2022,Sexuality / Sex Education,high,"Sexuality, bodies, or sex education appears central."
"Snadowsky, Daria",Anatomy of a Single Girl,Florida,Clay County School District,Banned in libraries and classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Snadowsky, Daria",Anatomy of a Single Girl,Virginia,Spotsylvania County Public Schools,Banned in libraries and classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Solomon, Andrew",Far from the Tree: How Children and Their Parents Learn to Accept One Another . . . Our Differences Unite Us,Florida,Clay County School District,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Sones, Sonya",What My Mother Doesn't Know,Florida,Clay County School District,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Sones, Sonya",What My Mother Doesn't Know,Pennsylvania,Penncrest School District,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Sonnenblick, Jordan",Falling Over Sideways,Texas,Frisco Independent School District,Banned in libraries,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Sook, Kim Hyun",Banned Book Club,Florida,Clay County School District,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Sparks, Beatrice",Go Ask Alice,Florida,Clay County School District,Banned pending investigation,2022,Sexuality / Sex Education,high,Sexual content or sex education is central.
"Sparks, Beatrice",Go Ask Alice,Florida,Escambia County Public Schools,Banned pending investigation,2022,Sexuality / Sex Education,high,Sexual content or sex education is central.
"Sparks, Beatrice",Go Ask Alice,Florida,Martin County Schools,Banned in libraries and classrooms,2022,Sexuality / Sex Education,high,Sexual content or sex education is central.
"Sparks, Beatrice",Go Ask Alice,Florida,School District of Hamilton County,Banned in libraries and classrooms,2022,Sexuality / Sex Education,high,Sexual content or sex education is central.
"Sparks, Beatrice",Go Ask Alice,Florida,Volusia County Schools,Banned in libraries and classrooms,2022,Sexuality / Sex Education,high,Sexual content or sex education is central.
"Sparks, Beatrice",Go Ask Alice,North Carolina,Pender County Schools,Banned in libraries,2022,Sexuality / Sex Education,high,Sexual content or sex education is central.
"Sparks, Beatrice",Go Ask Alice,Pennsylvania,Penncrest School District,Banned pending investigation,2022,Sexuality / Sex Education,high,Sexual content or sex education is central.
"Sparks, Beatrice",Go Ask Alice,South Carolina,Beaufort County School District,Banned in libraries,2022,Sexuality / Sex Education,high,Sexual content or sex education is central.
"Sparks, Beatrice",Go Ask Alice,South Carolina,Horry County Schools,Banned in libraries and classrooms,2022,Sexuality / Sex Education,high,Sexual content or sex education is central.
"Sparks, Beatrice",Go Ask Alice,Texas,Keller Independent School District,Banned pending investigation,2022,Sexuality / Sex Education,high,Sexual content or sex education is central.
"Sparks, Beatrice",Go Ask Alice,Utah,Davis School District,Banned in libraries and classrooms,2022,Sexuality / Sex Education,high,Sexual content or sex education is central.
"Spears, Rick",My Riot,Missouri,Wentzville School District,Banned pending investigation,2022,Violence / Trauma,high,"Violence, death, abuse, or trauma appears central."
"Spiegelman, Art",The Complete Maus: A Survivor's Tale,Missouri,Ritenour School District,Banned in libraries and classrooms,2022,Violence / Trauma,medium,Author/work often centers conflict or trauma.
"Spiegelman, Art",The Complete Maus: A Survivor's Tale,Missouri,Wentzville School District,Banned pending investigation,2022,Violence / Trauma,medium,Author/work often centers conflict or trauma.
"Spier, Peter",Noah's Ark (PS),Florida,Brevard Public Schools,Banned in libraries and classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Spinelli, Jerry","Love, Stargirl",Texas,Frisco Independent School District,Banned in libraries,2022,Sexuality / Sex Education,low,"Romance theme possible, but content unclear."
"Spinelli, Jerry",Stargirl,Texas,Frisco Independent School District,Banned in libraries,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Spring, Justin",The Essential Edward Hopper,Missouri,Wentzville School District,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"St. George, Judith",The Duel: The Parallel Lives of Alexander Hamilton and Aaron Burr,Texas,Frisco Independent School District,Banned in libraries,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Stagg, Natasha",Surveys,Pennsylvania,Perkiomen Valley School District,Banned in libraries and classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Stanley, Deborah A.","Novels for Students, Vol. 9",Florida,Clay County School District,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Stassen, Jean-Philippe",Deogratias: A Tale of Rwanda,Florida,Escambia County Public Schools,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Stassen, Jean-Philippe",Deogratias: A Tale of Rwanda,Florida,Seminole County Public Schools,Banned in libraries,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Stassen, Jean-Philippe",Deogratias: A Tale of Rwanda,North Carolina,Cumberland County Schools,Banned in libraries,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Stassen, Jean-Philippe",Deogratias: A Tale of Rwanda,Utah,Canyons School District,Banned in libraries and classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Stassen, Jean-Philippe",Deogratias: A Tale of Rwanda,Utah,Davis School District,Banned in libraries and classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Stassen, Jean-Philippe",Deogratias: A Tale of Rwanda,Utah,Granite School District,Banned in libraries and classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Steel, Danielle",Crossings,Florida,Martin County Schools,Banned in libraries and classrooms,2022,Sexuality / Sex Education,medium,Author/work is often challenged for sexual content.
"Steel, Danielle",Daddy: A Novel,Florida,Martin County Schools,Banned in libraries and classrooms,2022,Sexuality / Sex Education,medium,Author/work is often challenged for sexual content.
"Steel, Danielle",Fine Things,Florida,Martin County Schools,Banned in libraries and classrooms,2022,Sexuality / Sex Education,medium,Author/work is often challenged for sexual content.
"Steel, Danielle",Jewels,Florida,Martin County Schools,Banned in libraries and classrooms,2022,Sexuality / Sex Education,medium,Author/work is often challenged for sexual content.
"Steel, Danielle",Kaleidoscope,Florida,Martin County Schools,Banned in libraries and classrooms,2022,Sexuality / Sex Education,medium,Author/work is often challenged for sexual content.
"Steel, Danielle",Special Delivery,Florida,Martin County Schools,Banned in libraries and classrooms,2022,Sexuality / Sex Education,medium,Author/work is often challenged for sexual content.
"Steel, Danielle",Wanderlust,Florida,Martin County Schools,Banned in libraries and classrooms,2022,Sexuality / Sex Education,medium,Author/work is often challenged for sexual content.
"Steel, Danielle",Wings (DS),Florida,Martin County Schools,Banned in libraries and classrooms,2022,Sexuality / Sex Education,medium,Author/work is often challenged for sexual content.
"Steel, Danielle",Winners,Florida,Martin County Schools,Banned in libraries and classrooms,2022,Sexuality / Sex Education,medium,Author/work is often challenged for sexual content.
"Stein, Garth",The Art of Racing in the Rain,Florida,Clay County School District,Banned in libraries and classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Stein, Garth",The Art of Racing in the Rain,Florida,Martin County Schools,Banned in libraries and classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Stein, Garth",The Art of Racing in the Rain,Maine,Maine School Administrative District #6,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Stein, Garth",The Art of Racing in the Rain,Michigan,Chippewa Valley Schools,Banned in libraries,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Stein, Garth",The Art of Racing in the Rain,North Carolina,Pender County Schools,Banned in libraries,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Stein, Garth",The Art of Racing in the Rain,Oregon,Canby Public School District,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Stein, Garth",The Art of Racing in the Rain,Pennsylvania,Penncrest School District,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Stein, Garth",The Art of Racing in the Rain,South Carolina,Beaufort County School District,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Stein, Garth",The Art of Racing in the Rain,Utah,Alpine School District,Banned in libraries,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Stein, Garth",The Art of Racing in the Rain,Utah,Washington County School District,Banned in libraries and classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Steptoe, Javaka",Radiant Child: The Story of Young Artist Jean-Michel Basquiat,Florida,Clay County School District,Banned pending investigation,2022,Race / Racism,high,"Race, racism, or cultural identity is central."
"Steven, Laura",The Exact Opposite of Okay,Texas,Frisco Independent School District,Banned in libraries and classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Stevenson, Noelle",The Fire Never Goes Out: A Memoir in Pictures,Missouri,Wentzville School District,Banned pending investigation,2022,Violence / Trauma,low,Violent or scary content suggested by title.
"Stewart, Gail B.",Gay & Lesbian Youth,Florida,Marion County Public Schools,Banned pending investigation,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity appears central.
"Stiefvater, Maggie",Shiver,Florida,Clay County School District,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Stieglitz, Alfred",Stiegliz on Photography: His Selected Essays and Notes,Missouri,Wentzville School District,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Stoddard, Sandol",A Child's First Bible,Florida,Brevard Public Schools,Banned in libraries and classrooms,2022,Religion,medium,Religious identity or belief appears central.
"Stone, Nic",Dear Justyce,Florida,Clay County School District,Banned pending investigation,2022,Race / Racism,high,"Race, racism, or cultural identity is central."
"Stone, Nic",Dear Justyce,Texas,Frisco Independent School District,Banned in libraries,2022,Race / Racism,high,"Race, racism, or cultural identity is central."
"Stone, Nic",Dear Martin,Florida,Clay County School District,Banned in libraries,2022,Race / Racism,high,"Race, racism, or cultural identity is central."
"Stone, Nic",Dear Martin,Pennsylvania,Penncrest School District,Banned pending investigation,2022,Race / Racism,high,"Race, racism, or cultural identity is central."
"Stone, Nic",Dear Martin,South Carolina,School District of Pickens County,Banned in libraries,2022,Race / Racism,high,"Race, racism, or cultural identity is central."
"Stone, Nic",Dear Martin,Texas,Frisco Independent School District,Banned in libraries,2022,Race / Racism,high,"Race, racism, or cultural identity is central."
"Stone, Nic",Odd One Out,Texas,Texarkana Independent School District,Banned pending investigation,2022,Race / Racism,medium,Author/title commonly centers racial or cultural identity.
"Stone, Tamara Ireland",Little Do We Know,Texas,Frisco Independent School District,Banned in libraries,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Stone, Tanya Lee",A Bad Boy Can Be Good for a Girl,Florida,Clay County School District,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Stone, Tanya Lee",A Bad Boy Can Be Good for a Girl,Florida,Lake County Schools,Banned in libraries and classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Stone, Tanya Lee",A Bad Boy Can Be Good for a Girl,Pennsylvania,Penncrest School District,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Storr, Catherine",David and Goliath (CS),Florida,Brevard Public Schools,Banned in libraries and classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Stortz, Diane",The Sweetest Story: Bible for Toddlers,Florida,Brevard Public Schools,Banned in libraries and classrooms,2022,Religion,medium,Religious identity or belief appears central.
"Strayed, Cheryl",Wild: From Lost to Found on the Pacific Coast,Pennsylvania,Penncrest School District,Banned pending investigation,2022,Mental Health,low,"Emotional struggle suggested, but details unclear."
"Strickland, Carol","The Annotated Mona Lisa, Third Edition: A Crash Court in Art History from Prehistoric to the Present (Volume 3)",Missouri,Wentzville School District,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Suzuma, Tabitha",Forbidden,Texas,Katy Independent School District,Banned in libraries and classrooms,2022,Sexuality / Sex Education,high,Sexual content or sex education is central.
"Sweet, Christopher",The Essential Johannes Vermeer,Missouri,Wentzville School District,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Swofford, Anthony",Jarhead: A Marine's Chronicle of the Gulf War and Other Battles,Michigan,Hudsonville Public Schools,Banned in libraries and classrooms,2022,Violence / Trauma,high,"Violence, death, abuse, or trauma appears central."
"Tagholm, Sally",The Children's Bible,Florida,Brevard Public Schools,Banned in libraries and classrooms,2022,Religion,medium,Religious identity or belief appears central.
"Tagholm, Sally",The Children's Bible,Missouri,Wentzville School District,Banned pending investigation,2022,Religion,medium,Religious identity or belief appears central.
"Tahir, Sabaa",A Reaper at the Gates,Texas,Frisco Independent School District,Banned in libraries,2022,Race / Racism,medium,Author/title commonly centers racial or cultural identity.
"Tahir, Sabaa",A Sky Beyond the Storm,Texas,Frisco Independent School District,Banned in libraries,2022,Race / Racism,medium,Author/title commonly centers racial or cultural identity.
"Tahir, Sabaa",A Torch Against the Night,Texas,Frisco Independent School District,Banned in libraries,2022,Race / Racism,medium,Author/title commonly centers racial or cultural identity.
"Tahir, Sabaa",An Ember in the Ashes,Texas,Frisco Independent School District,Banned in libraries,2022,Race / Racism,medium,Author/title commonly centers racial or cultural identity.
"Takaya, Natsuki","Fruits Basket, Vol. 14",Pennsylvania,Penncrest School District,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Takaya, Natsuki","Fruits Basket, Vol. 17",Pennsylvania,Penncrest School District,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Talley, Robin",As I Descended,Texas,Texarkana Independent School District,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Talley, Robin",Music from Another World,Florida,Clay County School District,Banned pending investigation,2022,Political / Social Issues,low,"Social or political theme possible, but unclear."
"Tamaki, Jillian",SuperMutant Magic Academy,Florida,Escambia County Public Schools,Banned pending investigation,2022,Religion,medium,Religious identity or belief appears central.
"Tamaki, Jillian",SuperMutant Magic Academy,Missouri,Rockwood School District,Banned in libraries and classrooms,2022,Religion,medium,Religious identity or belief appears central.
"Tamaki, Mariko",Laura Dean Keeps Breaking Up with Me,Florida,Clay County School District,Banned pending investigation,2022,LGBTQ+ / Gender,medium,Author is known for LGBTQ+/gender themes.
"Tamaki, Mariko",Laura Dean Keeps Breaking Up with Me,Florida,School District of Manatee County,Banned in libraries,2022,LGBTQ+ / Gender,medium,Author is known for LGBTQ+/gender themes.
"Tamaki, Mariko",Laura Dean Keeps Breaking Up with Me,Florida,Volusia County Schools,Banned in libraries,2022,LGBTQ+ / Gender,medium,Author is known for LGBTQ+/gender themes.
"Tamaki, Mariko",Laura Dean Keeps Breaking Up with Me,Tennessee,Robertson County Schools,Banned in libraries and classrooms,2022,LGBTQ+ / Gender,medium,Author is known for LGBTQ+/gender themes.
"Tamaki, Mariko",Laura Dean Keeps Breaking Up with Me,Utah,Granite School District,Banned pending investigation,2022,LGBTQ+ / Gender,medium,Author is known for LGBTQ+/gender themes.
"Tamaki, Mariko",This One Summer,Florida,Clay County School District,Banned in libraries and classrooms,2022,Sexuality / Sex Education,high,Sexual content or sex education is central.
"Tamaki, Mariko",This One Summer,Florida,Collier County Public Schools,Banned in libraries,2022,Sexuality / Sex Education,high,Sexual content or sex education is central.
